SIDT,TNNU,STNU,HOUR,SPEC,ANGL,RADL,PERP,GPSZ,MVST,SBMV,FSAG,TWAW,HABT,GPRP
4,8,1,16,EGK,38,120,74,7,0,9,9,9,,55
4,8,1,16,EGK,38,120,74,7,0,9,9,9,,55
4,8,1,16,EGK,30,140,70,7,0,9,9,9,,55
4,8,1,16,EGK,30,140,70,7,0,9,9,9,,55
4,8,1,16,EGK,30,140,70,7,0,9,9,9,,55
4,8,1,16,EGK,30,140,70,7,0,9,9,9,,55
4,8,2,16,EGK,48,150,111,4,0,0,0,0,,95
4,8,2,16,EGK,49,150,113,4,0,0,0,0,,95
4,8,2,16,EGK,50,150,115,4,0,0,0,0,,95
4,8,2,16,EGK,52,150,118,4,0,0,0,0,,95
4,8,3,16,RNW,16,53,15,1,0,1,3,0,,25
4,8,4,16,RNW,168,102,21,2,0,1,4,0,,65
4,8,4,16,RNW,101,64,63,2,0,0,0,0,,65
4,9,1,17,RNW,1,11,0,3,1,1,1,0,,15
4,9,1,17,RNW,31,33,17,3,1,1,1,0,,15
4,9,1,17,RNW,40,32,21,3,0,0,0,0,,15
4,9,2,17,EGK,30,88,44,4,0,0,0,0,,55
4,9,2,17,EGK,20,104,36,4,0,0,0,0,,55
4,9,2,17,EGK,20,104,36,4,0,0,0,0,,55
4,9,2,17,EGK,20,104,36,4,0,0,0,0,,55
4,9,3,17,RNW,80,104,102,2,0,0,0,0,,105
4,9,3,17,RNW,82,104,103,2,0,0,0,0,,105
4,9,4,17,RNW,90,35,35,1,0,1,2,0,,35
4,9,5,17,EGK,6,83,9,1,0,0,0,0,,25
4,11,1,7,RNW,67,20,18,1,0,0,0,0,,25
4,11,2,7,RNW,87,78,78,1,0,1,1,1,,75
4,11,3,7,RNW,36,100,59,2,0,1,2,0,,85
4,11,3,7,RNW,42,103,69,2,0,1,2,0,,85
4,11,4,8,RNW,34,47,26,1,1,1,1,0,,25
4,11,5,8,EGK,112,280,260,3,0,0,0,0,,265
4,11,5,8,EGK,110,280,263,3,0,0,0,0,,265
4,11,5,8,EGK,108,280,266,3,0,0,0,0,,265
4,11,6,8,RNW,27,63,29,1,0,0,0,0,,35
4,11,7,8,RNW,28,6,3,1,1,1,2,0,,15
4,11,8,8,RNW,56,43,36,1,1,1,1,0,,35
4,17,1,13,RNW,27,140,64,1,1,9,9,9,,75
4,17,2,13,RNW,18,170,53,1,1,9,9,9,,65
4,17,3,13,EGK,41,56,37,4,0,0,0,0,,45
4,17,3,13,EGK,59,79,68,4,0,0,0,0,,45
4,17,3,13,EGK,61,46,40,4,0,0,0,0,,45
4,17,3,13,EGK,61,47,41,4,0,0,0,0,,45
4,17,4,13,RNW,46,78,56,1,0,0,0,0,,65
4,17,5,13,RNW,80,15,15,1,0,1,1,0,,25
4,17,6,13,EGK,80,240,236,1,0,0,0,0,,235
4,17,7,13,RNW,80,240,236,4,0,0,0,0,,235
4,17,7,13,RNW,80,240,236,4,0,0,0,0,,235
4,17,7,13,RNW,80,240,236,4,0,0,0,0,,235
4,17,7,13,RNW,80,240,236,4,0,0,0,0,,235
4,18,1,16,EGK,22,37,14,2,0,0,0,0,,15
4,18,1,16,EGK,20,25,9,2,0,0,0,0,,15
4,18,2,16,EGK,22,120,45,2,0,0,0,0,,35
4,18,2,16,EGK,22,120,45,2,0,0,0,0,,35
4,18,3,16,RNW,6,110,11,4,0,1,9,9,,15
4,18,3,16,RNW,7,110,13,4,0,1,9,9,,15
4,18,3,16,RNW,2,110,4,4,0,1,9,9,,15
4,18,3,16,RNW,8,110,15,4,0,1,9,9,,15
4,18,4,16,RNW,31,58,30,1,0,1,9,9,,35
4,18,5,16,EGK,2,130,5,5,0,0,0,0,,15
4,18,5,16,EGK,1,130,2,5,0,0,0,0,,15
4,18,5,16,EGK,1,130,2,5,0,0,0,0,,15
4,18,5,16,EGK,3,130,7,5,0,0,0,0,,15
4,18,5,16,EGK,2,130,5,5,0,0,0,0,,15
4,18,6,16,EGK,24,165,67,2,0,0,0,0,,85
4,18,6,16,EGK,21,175,63,2,0,0,0,0,,85
4,19,2,17,RNW,25,63,27,1,0,0,0,0,,35
4,19,3,17,EGK,27,170,77,9,0,0,0,0,,65
4,19,3,17,EGK,28,170,80,9,0,0,0,0,,65
4,19,3,17,EGK,29,175,85,9,0,0,0,0,,65
4,19,3,17,EGK,29,175,85,9,0,0,0,0,,65
4,19,3,17,EGK,30,165,83,9,0,0,0,0,,65
4,19,3,17,EGK,31,165,85,9,0,0,0,0,,65
4,19,3,17,EGK,31,160,82,9,0,0,0,0,,65
4,19,3,17,EGK,32,160,85,9,0,0,0,0,,65
4,19,3,17,EGK,33,160,87,9,0,0,0,0,,65
4,19,4,17,RNW,41,68,45,1,0,0,0,0,,35
4,19,5,17,EGK,25,65,27,6,0,0,0,0,,35
4,19,5,17,EGK,25,65,27,6,0,0,0,0,,35
4,19,5,17,EGK,53,37,30,6,0,0,0,0,,35
4,19,5,17,EGK,51,37,29,6,0,0,0,0,,35
4,19,5,17,EGK,51,37,29,6,0,0,0,0,,35
4,19,5,17,EGK,37,33,20,6,0,0,0,0,,35
4,19,6,17,EGK,76,55,53,2,0,0,0,0,,45
4,19,6,17,EGK,77,45,44,2,0,0,0,0,,45
4,19,7,17,RNW,36,15,9,2,0,0,0,0,,15
4,33,1,8,RNW,4,76,5,2,0,1,2,0,,15
4,33,1,8,RNW,8,65,9,2,0,1,2,0,,15
4,33,2,8,RNW,70,68,64,1,0,0,0,0,,65
4,33,3,8,RNW,107,165,158,1,0,0,0,0,,175
4,33,4,8,RNW,120,105,91,1,0,0,0,0,,105
4,33,5,8,RNW,116,125,112,1,0,0,0,0,,105
4,33,6,8,EGK,48,150,111,4,0,0,0,0,,105
4,33,6,8,EGK,48,150,111,4,0,0,0,0,,105
4,33,6,8,EGK,46,200,144,4,0,0,0,0,,105
4,33,6,8,EGK,45,200,141,4,0,0,0,0,,105
4,33,7,8,RNW,19,66,21,1,0,1,1,1,,15
4,33,8,8,RNW,88,86,86,1,0,0,0,0,,85
4,33,9,8,RNW,26,104,46,2,0,1,2,0,,35
4,33,9,8,RNW,26,109,48,2,0,1,2,0,,35
4,34,1,8,EGK,45,185,131,5,0,0,0,0,,165
4,34,1,8,EGK,45,185,131,5,0,0,0,0,,165
4,34,1,8,EGK,44,185,129,5,0,0,0,0,,165
4,34,1,8,EGK,44,185,129,5,0,0,0,0,,165
4,34,1,8,EGK,43,185,126,5,0,0,0,0,,165
4,34,2,8,EGK,49,220,166,2,0,0,0,0,,175
4,34,2,8,EGK,49,220,166,2,0,0,0,0,,175
4,34,3,8,RNW,5,168,15,2,0,1,9,9,,25
4,34,3,8,RNW,4,168,12,2,0,1,9,9,,25
4,34,4,8,EGK,70,155,146,2,0,0,0,0,,135
4,34,4,8,EGK,71,155,147,2,0,0,0,0,,135
4,34,5,8,EGK,48,180,134,3,0,0,0,0,,135
4,34,5,8,EGK,48,180,134,3,0,0,0,0,,135
4,34,5,8,EGK,51,180,140,3,0,0,0,0,,135
4,34,6,9,RNW,1,16,0,1,1,1,1,0,,15
4,40,1,15,EGK,58,41,35,1,0,0,0,0,,35
4,40,2,15,EGK,90,88,88,2,0,0,0,0,,85
4,40,2,15,EGK,72,61,58,2,0,0,0,0,,85
4,40,3,15,EGK,7,59,7,3,0,0,0,0,,15
4,40,3,15,EGK,4,59,4,3,0,0,0,0,,15
